6 Weeks Cluster,17 Weeks Cluster,Percentage of Users
Morning,Morning,0.10580980363694609
Noon,Morning,0.004089437039187518
Afternoon,Morning,0.003073334568006287
Evening,Morning,0.0025177317389367465
Night,Morning,0.003678991706001011
Morning,Noon,0.010331209362157942
Noon,Noon,0.1055695429541052
Afternoon,Noon,0.006051565949054725
Evening,Noon,0.002788025007132739
Night,Noon,0.0029632150883708826
Morning,Afternoon,0.003228502925674357
Noon,Afternoon,0.017659160188804854
Afternoon,Afternoon,0.1669911854361983
Evening,Afternoon,0.012113142759894486
Night,Afternoon,0.008934694143145313
Morning,Evening,0.001977145202544761
Noon,Evening,0.0028030412998102943
Afternoon,Evening,0.008429145623000955
Evening,Evening,0.1364480461300511
Night,Evening,0.01043131798000831
Morning,Night,0.005295745884284449
Noon,Night,0.007593238663950386
Afternoon,Night,0.014846108027209523
Evening,Night,0.025147284804012352
Night,Night,0.33122938388151146
