Week,Percent_Users_with_Gap
1,0.0
2,7.586534163958307
3,7.743394533707971
4,7.895611584568055
5,7.7793288200692325
6,8.365861186252973
7,8.139546574171819
8,7.53787207654146
9,7.593929751560396
10,8.163347685683531
11,7.723974832484197
12,7.2628248516425575
13,7.092535691853261
14,7.2074219394583885
15,7.526500374354731
16,6.8509539701530136
17,6.744487678339818
18,6.547363397757098
19,6.65395372489194
20,6.526480170162355
21,6.158557332425995
22,6.118604025239989
23,6.218041790291017
24,6.433445968329689
25,5.772895803735404
26,5.95363732304669
27,5.812044144040937
28,6.221299365092041
29,5.624947955699891
30,5.658985375168164
31,5.510990256061636
32,5.639062204575533
33,5.604676294331467
34,5.482321684038422
35,5.376458112407211
36,5.599425699928212
37,5.669896233446082
38,5.3979980934223075
39,5.102987567266655
40,5.504409965879096
41,5.690729941685099
42,5.296448182386877
43,5.0363335491762
44,5.3232790801851575
45,5.229720306810258
46,5.027217419148255
47,5.0170279923581695
48,5.222203008818952
49,4.866858582223822
50,5.066265626468653
51,4.37740313516711
