,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17,Week 18,Week 19,Week 20,Week 21,Week 22,Week 23,Week 24,Week 25,Week 26,Week 27,Week 28,Week 29,Week 30,Week 31,Week 32,Week 33,Week 34,Week 35,Week 36,Week 37,Week 38,Week 39,Week 40,Week 41,Week 42,Week 43,Week 44,Week 45,Week 46,Week 47,Week 48,Week 49,Week 50,Week 51
"[5, 10)",0.0,0.08509832220819051,0.10001804077214504,0.1276565036983583,0.09743821035540322,0.07990257983041674,0.05899332491430633,0.03694750135305791,0.01850983222081905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[10, 15)",0.0,0.06406267571316115,0.07118491584511003,0.0834426659669378,0.08647898939161075,0.10031112943734304,0.10660868913296098,0.10143569366870338,0.12475165873224126,0.10844547737751621,0.0767327660531544,0.057952543389436596,0.034861491172170786,0.02001724331821419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[15, 20)",0.0,0.04681647940074907,0.05856903009169573,0.06599509234146972,0.06560764561539455,0.07477721813250678,0.07839338757587498,0.07955572775410048,0.0877566834560248,0.09660338370140772,0.09802402169701666,0.0979594472426708,0.10228593568384348,0.12010848508330105,0.10002582978173834,0.07658530285419088,0.05094924447888415,0.03738860906625339,0.018403719488570322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[20, 25)",0.0,0.051438625543365764,0.05257710618919478,0.0602359759884082,0.059304491823639,0.06396191264748499,0.06478989857172428,0.06437590560960464,0.06696336162285241,0.07545021734630511,0.07783067687849307,0.0772096874353136,0.08238459946180915,0.08869799213413372,0.09345891119850963,0.09097495342579176,0.0950113848064583,0.0969778513765266,0.1073276754295177,0.08962947629890292,0.06892982819292072,0.05330159387290416,0.03653487890705858,0.021424135789691576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[25, 30)",0.0,0.047100382690609364,0.044892552251987045,0.05313511922284368,0.055931704445098616,0.06137768619370032,0.05563732705328231,0.05784515749190462,0.05416544009420077,0.0691786870768325,0.06829555490138357,0.06329113924050633,0.06108330880188401,0.06608772446276126,0.07374153664998528,0.07006181925228143,0.07697968795996467,0.07874595231086252,0.084927877539005,0.083014424492199,0.08183691492493377,0.0900794818957904,0.09243450103032087,0.11156903149838092,0.08198410362084192,0.06387989402413895,0.05254636443921107,0.03620841919340595,0.01766264350897851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[30, 35)",0.0,0.04864207539521686,0.04600729631130928,0.047426023510336444,0.055127685447912446,0.05553303607620592,0.05593838670449939,0.04600729631130928,0.05370895824888529,0.05938386704499392,0.05533036076205918,0.05634373733279287,0.05877584110255371,0.05877584110255371,0.07032833400891772,0.058573165788406975,0.05877584110255371,0.05755978921767329,0.06708552898256992,0.06911228212403729,0.06181597081475476,0.06445074989866234,0.06809890555330361,0.07782732063234699,0.07559789217673288,0.08512363194162952,0.08269152817186867,0.09241994325091205,0.09059586542359141,0.08025942440210783,0.0620186461289015,0.04620997162545602,0.033238751520064856,0.018240778273206325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[35, 40)",0.0,0.04465871606191322,0.04364374524232428,0.044151230652118754,0.04719614311088556,0.05353971073331642,0.052778482618624716,0.050494798274549606,0.05125602638924131,0.055062166962699825,0.055062166962699825,0.04491245876681045,0.058868307536158335,0.05125602638924131,0.05912205024105557,0.06089824917533621,0.06013702106064451,0.05962953565085004,0.06242070540471961,0.06064450647043897,0.05582339507739152,0.05633088048718599,0.058868307536158335,0.06089824917533621,0.06394316163410302,0.061151991880233444,0.06521187515858919,0.07586906876427303,0.07003298655163664,0.07079421466632835,0.07003298655163664,0.08551129155036792,0.0852575488454707,0.09185485917279879,0.06851053032225324,0.06318193351941132,0.04516620147170769,0.03425526516112662,0.015478304998731287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[40, 45)",0.0,0.03978954291351529,0.039460703715882936,0.04044722130878001,0.042420256494574156,0.050970075633015456,0.048010522854324236,0.048010522854324236,0.05031239723775074,0.051298914830647815,0.054258467609339035,0.047024005261427165,0.052614271621177246,0.04768168365669188,0.052614271621177246,0.05458730680697139,0.050970075633015456,0.048010522854324236,0.05787569878329497,0.05360078921407432,0.052285432423544886,0.055902663597500825,0.050970075633015456,0.057546859585662614,0.051298914830647815,0.06280828674778033,0.060177573166721475,0.054258467609339035,0.060506412364353834,0.055573824399868466,0.061164090759618546,0.060177573166721475,0.07201578428148635,0.0677408747122657,0.07563301545544229,0.06445248273594212,0.07826372903650115,0.07892140743176587,0.0841828345938836,0.07497533706017757,0.05458730680697139,0.040776060506412366,0.029924366984544558,0.014468924695823742,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[45, 50)",0.0,0.03654124457308249,0.045586107091172216,0.04341534008683068,0.0394356005788712,0.03871201157742402,0.04522431259044862,0.04377713458755427,0.045586107091172216,0.05173661360347323,0.052821997105643996,0.0459479015918958,0.04739507959479016,0.04413892908827786,0.04848046309696093,0.04884225759768451,0.04630969609261939,0.04486251808972504,0.05499276410998553,0.0459479015918958,0.04956584659913169,0.04667149059334298,0.05065123010130246,0.052821997105643996,0.04848046309696093,0.044500723589001444,0.05065123010130246,0.05752532561505065,0.056439942112879886,0.05028943560057887,0.055716353111432707,0.05065123010130246,0.05969609261939218,0.05173661360347323,0.05788712011577424,0.06367583212735166,0.0658465991316932,0.0654848046309696,0.05897250361794501,0.06801736613603473,0.07054992764109985,0.0723589001447178,0.07380607814761216,0.08719247467438494,0.07670043415340087,0.06367583212735166,0.04413892908827786,0.029667149059334298,0.015557163531114327,0.0,0.0
