,Morning,Noon,Afternoon,Evening,Night
Flag_6,0.2234299039563653,0.1708283356958528,0.1399271996987574,0.0873504082317414,0.1327448507776376
Flag_7,0.1738666455871309,0.1675571547995493,0.1231329233086481,0.0681691086008276,0.1278688524590163
Flag_8,0.1594798624560294,0.155344746120016,0.0875862934605246,0.0460239346829213,0.1090093876979122
Flag_9,0.0925655112446148,0.1200523388943408,0.0542989833061378,0.0173917906274465,0.0901779459156508
Flag_10,0.1099166040867949,0.099698324428452,0.0503326220660223,0.0076333743429146,0.0724253888188314
Flag_11,0.104185605312043,0.0822520263148329,0.0508346931090749,0.0052007605413264,0.0648171500630517
Flag_12,0.1026836883917631,0.0575727837749427,0.0277394251286557,-0.0135331618387205,0.0561020036429872
Flag_13,0.0933559938342358,0.0347472104096245,0.0037655328228944,-0.0182026618946426,0.0301106907664284
Flag_14,0.085372119679064,0.0141751172173154,-0.0094891427136939,-0.0362655183983894,0.0174583158189715
Flag_15,0.0405122327180743,0.0174826445680223,-0.0128530187021463,-0.0365451291801811,0.0116435477091214
Flag_16,0.0069562467886644,0.0145022353069458,-0.0149617170829672,-0.0428922939268538,0.0058287795992714
Flag_17,0.005810047033714,0.0015992439937484,-0.0329107568720974,-0.049658874846214,-0.0008266778758582
